@relation vreme

@attribute opis {hladno,toplo,vetrovno,dezevno,snezi}
@attribute temperatura NUMERIC
@attribute veter {0,5,10,20,50}
@attribute moznost_padavin {0,10,20,30,40,50,60,70,80,90,100}

@data
toplo,30,10,90
dezevno,9,0,70
hladno,10,50,0
dezevno,33,50,70
toplo,5,0,50
toplo,16,50,90
snezi,32,0,0
hladno,20,10,90
snezi,18,0,100
snezi,1,5,90
toplo,26,10,20
dezevno,18,5,90
hladno,18,10,100
hladno,12,20,40
hladno,1,0,10
snezi,18,5,30
dezevno,0,10,90
snezi,0,10,90
hladno,12,50,100
toplo,24,10,70
dezevno,8,10,70
dezevno,16,50,0
snezi,29,5,30
vetrovno,34,5,70
dezevno,8,20,20
snezi,4,5,30
hladno,9,0,80
hladno,31,20,50
dezevno,19,5,80
vetrovno,13,20,0
toplo,23,50,0
toplo,18,5,30
snezi,34,50,90
dezevno,32,10,40
hladno,13,20,80
hladno,20,20,50
snezi,19,5,20
vetrovno,18,5,20
snezi,8,10,80
vetrovno,12,0,60
vetrovno,5,50,80
hladno,6,50,40
hladno,2,0,10
snezi,20,10,100
snezi,13,50,50
hladno,22,50,30
toplo,9,0,10
vetrovno,1,5,60
snezi,4,10,40
vetrovno,8,0,90
snezi,13,10,0
snezi,17,5,60
vetrovno,9,5,50
toplo,15,50,90
toplo,32,0,20
snezi,3,10,40
hladno,1,10,70
dezevno,29,0,50
snezi,12,5,10
snezi,16,0,100
vetrovno,32,10,20
dezevno,19,0,90
dezevno,15,5,40
hladno,23,50,70
vetrovno,1,20,10
vetrovno,26,5,90
hladno,32,5,100
dezevno,5,20,20
snezi,11,50,70
vetrovno,34,20,80
toplo,5,20,80
hladno,12,10,80
toplo,8,20,80
hladno,26,10,20
hladno,11,5,100
vetrovno,7,5,80
hladno,9,0,70
dezevno,4,20,90
hladno,2,50,90
dezevno,21,0,0
dezevno,18,5,60
snezi,4,0,70
toplo,26,10,50
snezi,30,0,30
vetrovno,20,5,30
vetrovno,30,20,20
vetrovno,19,50,90
vetrovno,6,10,10
hladno,30,50,40
snezi,23,20,50
vetrovno,26,0,50
toplo,21,5,0
dezevno,29,20,10
snezi,13,50,60
toplo,24,10,0
dezevno,8,0,60
snezi,22,20,100
vetrovno,28,10,40
vetrovno,14,20,0
vetrovno,7,10,20
toplo,4,10,80
hladno,34,50,100
vetrovno,4,20,30
snezi,24,50,70
toplo,18,20,10
dezevno,23,50,10
hladno,20,5,100
hladno,11,50,100
dezevno,16,10,60
vetrovno,13,10,0
dezevno,34,10,100
toplo,14,50,100
hladno,23,20,10
dezevno,14,10,0
snezi,33,5,20
snezi,14,5,20
dezevno,4,0,90
vetrovno,16,50,80
hladno,16,20,0
hladno,3,10,10
vetrovno,23,50,50
hladno,23,0,10
dezevno,34,50,100
hladno,5,5,0
snezi,13,5,100
toplo,13,0,70
dezevno,33,10,50
hladno,9,50,80
hladno,31,0,90
dezevno,10,5,40
snezi,13,5,0
vetrovno,18,50,20
hladno,29,0,10
vetrovno,12,20,40
hladno,7,10,50
toplo,25,5,50
toplo,12,10,90
toplo,7,0,100
vetrovno,33,50,50
